2015-01-27 13:56:16,178 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chromia:chromia:1.0 @ C:\DarkPrimeSearchRunner\chromia\pom.xml.
2015-01-27 13:56:24,663 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chromia:chromia:1.0 @ C:\DarkPrimeSearchRunner\chromia\pom.xml.
2015-01-27 13:56:41,033 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 13:56:41,065 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 13:56:41,078 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 13:56:41,079 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\chromia\src\test\resources
2015-01-27 13:57:01,598 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chromia:chromia:1.0 @ C:\DarkPrimeSearchRunner\chromia\pom.xml.
2015-01-27 13:57:38,507 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 13:57:38,518 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 13:57:38,521 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 13:57:38,522 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\chromia\src\test\resources
2015-01-27 14:47:26,505 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chromia:chromia:1.0 @ C:\DarkPrimeSearchRunner\searchrunner\pom.xml.
2015-01-27 14:47:42,978 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chromia:chromia:1.0 @ C:\DarkPrimeSearchRunner\searchrunner\pom.xml.
2015-01-27 14:47:46,541 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 14:47:46,671 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 14:47:46,673 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 14:47:46,674 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 14:47:57,652 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chromia:chromia:1.0 @ C:\DarkPrimeSearchRunner\searchrunner\pom.xml.
