127.0.0.1 - - [04/Feb/2015:00:31:47 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:31:56 -0300] "GET /chromia/ HTTP/1.1" 200 4251
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:31:59 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:31:59 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=FC92596BC8F96C78815C6E35C1FAC3CF?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:31:59 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=FC92596BC8F96C78815C6E35C1FAC3CF?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:31:59 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js;jsessionid=FC92596BC8F96C78815C6E35C1FAC3CF?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:31:59 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css;jsessionid=FC92596BC8F96C78815C6E35C1FAC3CF?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:32:01 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_loop_25_000000_21x21.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:32:01 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_222222_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:32:01 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_44_444444_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:32:02 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:32:02 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:30 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_33_003147_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:31 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_20_0972a5_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:32 -0300] "POST /chromia/faces/login.xhtml;jsessionid=FC92596BC8F96C78815C6E35C1FAC3CF HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:32 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_80_eeeeee_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:32 -0300] "GET /chromia/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:36 -0300] "GET /chromia/faces/pages/inicio.xhtml HTTP/1.1" 200 31416
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:36 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:36 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:36 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:36 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:36 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:37 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_44_444444_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:37 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_cccccc_256x240.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:37 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_loop_25_000000_21x21.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:37 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_222222_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:37 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_80_eeeeee_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:37 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_ffffff_256x240.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:37 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_4b8e0b_256x240.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:33:37 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_33_003147_1x100.png?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/pages/mantenimiento/cliente.xhtml HTTP/1.1" 200 88461
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-dark-hive HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2015:00:34:38 -0300] "GET /chromia/resources/images/excel.png?pfdrid_c=true HTTP/1.1" 304 -
