127.0.0.1 - - [14/Jul/2015:21:54:40 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:43 -0300] "GET /chromia/ HTTP/1.1" 200 6647
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/faces/javax.faces.resource/dock/dock.css;jsessionid=A9C503AD3D6DA35B870F71D51A049200?ln=primefaces&v=4.0 HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js;jsessionid=A9C503AD3D6DA35B870F71D51A049200?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=A9C503AD3D6DA35B870F71D51A049200?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/faces/javax.faces.resource/dock/dock.js;jsessionid=A9C503AD3D6DA35B870F71D51A049200?ln=primefaces&v=4.0 HTTP/1.1" 200 6861
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=A9C503AD3D6DA35B870F71D51A049200?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/resources/css/login.css HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 200 18294
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css;jsessionid=A9C503AD3D6DA35B870F71D51A049200?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/resources/images/g.png;jsessionid=A9C503AD3D6DA35B870F71D51A049200 HTTP/1.1" 200 31429
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/resources/images/f.png;jsessionid=A9C503AD3D6DA35B870F71D51A049200 HTTP/1.1" 200 20104
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/resources/images/i.png;jsessionid=A9C503AD3D6DA35B870F71D51A049200 HTTP/1.1" 200 37946
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/resources/images/y.png;jsessionid=A9C503AD3D6DA35B870F71D51A049200 HTTP/1.1" 200 31997
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/resources/images/t.png;jsessionid=A9C503AD3D6DA35B870F71D51A049200 HTTP/1.1" 200 36893
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/resources/images/git.png;jsessionid=A9C503AD3D6DA35B870F71D51A049200 HTTP/1.1" 200 33157
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:54:44 -0300] "GET /chromia/resources/images/login.png HTTP/1.1" 200 536
